Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
AAPL,Apple Inc.,"Jul 30, 2020, 12 AMEDT",2.04,2.58,26.22
AAPL,Apple Inc.,"Apr 30, 2020, 12 AMEDT",2.26,2.55,12.78
AAPL,Apple Inc.,"Jan 28, 2020, 12 AMEDT",4.55,4.99,9.74
AAPL,Apple Inc.,"Oct 30, 2019, 12 AMEDT",2.84,3.03,6.73
AAPL,Apple Inc.,"Jul 30, 2019, 12 AMEDT",2.1,2.18,3.91
AAPL,Apple Inc.,"Apr 30, 2019, 12 AMEDT",2.36,2.46,4.19
AAPL,Apple Inc.,"Jan 29, 2019, 12 AMEDT",4.17,4.18,0.31
AAPL,Apple Inc.,"Nov 01, 2018, 12 AMEDT",2.78,2.91,4.56
AAPL,Apple Inc.,"Jul 31, 2018, 12 AMEDT",2.18,2.34,7.29
AAPL,Apple Inc.,"May 01, 2018, 12 AMEDT",2.67,2.73,2.13
AAPL,Apple Inc.,"Feb 01, 2018, 12 AMEDT",3.86,3.89,0.86
AAPL,Apple Inc.,"Nov 02, 2017, 12 AMEDT",1.87,2.07,10.87
AAPL,Apple Inc.,"Aug 01, 2017, 12 AMEDT",1.57,1.67,6.23
AAPL,Apple Inc.,"May 02, 2017, 12 AMEDT",2.02,2.1,3.96
AAPL,Apple Inc.,"Jan 31, 2017, 12 AMEDT",3.21,3.36,4.54
AAPL,Apple Inc.,"Oct 25, 2016, 12 AMEDT",1.66,1.67,0.85
AAPL,Apple Inc.,"Jul 26, 2016, 12 AMEDT",1.38,1.42,2.6
AAPL,Apple Inc.,"Apr 26, 2016, 12 AMEDT",2.0,1.9,-4.9
AAPL,Apple Inc.,"Jan 26, 2016, 12 AMEDT",3.23,3.28,1.64
AAPL,Apple Inc.,"Oct 27, 2015, 12 AMEDT",1.88,1.96,4.26
AAPL,Apple Inc.,"Jul 21, 2015, 12 AMEDT",1.81,1.85,2.15
AAPL,Apple Inc.,"Apr 27, 2015, 12 AMEDT",2.16,2.33,7.92
AAPL,Apple Inc.,"Jan 27, 2015, 12 AMEDT",2.6,3.06,17.51
AAPL,Apple Inc.,"Oct 20, 2014, 12 AMEDT",1.31,1.42,8.81
AAPL,Apple Inc.,"Jul 22, 2014, 12 AMEDT",1.23,1.28,3.98
AAPL,Apple Inc.,"Apr 23, 2014, 12 AMEDT",1.46,1.66,13.99
AAPL,Apple Inc.,"Jan 27, 2014, 12 AMEDT",2.01,2.07,3.08
AAPL,Apple Inc.,"Oct 28, 2013, 12 AMEDT",1.14,1.18,3.82
AAPL,Apple Inc.,"Jul 23, 2013, 12 AMEDT",1.05,1.07,2.05
AAPL,Apple Inc.,"Apr 23, 2013, 12 AMEDT",1.43,1.44,0.88
AAPL,Apple Inc.,"Jan 23, 2013, 12 AMEDT",1.92,1.97,2.52
AAPL,Apple Inc.,"Oct 25, 2012, 12 AMEDT",1.25,1.24,-0.91
AAPL,Apple Inc.,"Jul 24, 2012, 12 AMEDT",1.48,1.33,-10.12
AAPL,Apple Inc.,"Apr 24, 2012, 12 AMEDT",1.43,1.76,22.55
AAPL,Apple Inc.,"Jan 24, 2012, 12 AMEDT",1.45,1.98,36.46
AAPL,Apple Inc.,"Oct 18, 2011, 12 AMEDT",1.06,1.01,-4.54
AAPL,Apple Inc.,"Jul 19, 2011, 12 AMEDT",0.83,1.11,33.58
AAPL,Apple Inc.,"Apr 20, 2011, 12 AMEDT",0.77,0.91,19.09
AAPL,Apple Inc.,"Jan 18, 2011, 12 AMEDT",0.77,0.92,19.03
AAPL,Apple Inc.,"Oct 18, 2010, 12 AMEDT",0.58,0.66,13.65
AAPL,Apple Inc.,"Jul 20, 2010, 12 AMEDT",0.44,0.5,12.68
AAPL,Apple Inc.,"Apr 20, 2010, 12 AMEDT",0.35,0.48,36.1
AAPL,Apple Inc.,"Jan 25, 2010, 12 AMEDT",0.3,0.52,76.0
AAPL,Apple Inc.,"Oct 19, 2009, 12 AMEDT",0.2,0.26,27.8
AAPL,Apple Inc.,"Jul 21, 2009, 12 AMEDT",0.17,0.19,15.05
AAPL,Apple Inc.,"Apr 22, 2009, 12 AMEDT",0.16,0.19,22.05
AAPL,Apple Inc.,"Jan 21, 2009, 12 AMEDT",0.2,0.25,28.26
AAPL,Apple Inc.,"Oct 21, 2008, 12 AMEDT",0.16,0.18,13.3
AAPL,Apple Inc.,"Jul 21, 2008, 12 AMEDT",0.15,0.17,10.4
AAPL,Apple Inc.,"Apr 23, 2008, 12 AMEDT",0.15,0.17,8.1
AAPL,Apple Inc.,"Jan 22, 2008, 12 AMEDT",0.23,0.25,8.86
AAPL,Apple Inc.,"Oct 22, 2007, 12 AMEDT",0.12,0.14,17.88
AAPL,Apple Inc.,"Jul 25, 2007, 12 AMEDT",0.1,0.13,27.07
AAPL,Apple Inc.,"Apr 25, 2007, 12 AMEDT",0.09,0.12,35.94
AAPL,Apple Inc.,"Jan 17, 2007, 12 AMEDT",0.11,0.16,45.38
AAPL,Apple Inc.,"Oct 18, 2006, 12 AMEDT",0.07,0.09,22.55
AAPL,Apple Inc.,"Jul 19, 2006, 12 AMEDT",0.06,0.08,22.85
AAPL,Apple Inc.,"Apr 19, 2006, 12 AMEDT",0.06,0.07,8.22
AAPL,Apple Inc.,"Jan 18, 2006, 12 AMEDT",0.09,0.09,7.09
AAPL,Apple Inc.,"Oct 11, 2005, 12 AMEDT",0.05,0.05,2.16
AAPL,Apple Inc.,"Jul 13, 2005, 12 AMEDT",0.04,0.05,17.96
AAPL,Apple Inc.,"Apr 13, 2005, 12 AMEDT",0.03,0.05,39.69
AAPL,Apple Inc.,"Jan 12, 2005, 12 AMEDT",0.03,0.05,43.93
AAPL,Apple Inc.,"Oct 13, 2004, 12 AMEDT",0.01,0.02,47.7
AAPL,Apple Inc.,"Jul 14, 2004, 12 AMEDT",0.01,0.01,14.96
AAPL,Apple Inc.,"Apr 14, 2004, 12 AMEDT",0.01,0.01,46.41
AAPL,Apple Inc.,"Jan 14, 2004, 12 AMEDT",0.01,0.01,9.38
AAPL,Apple Inc.,"Jul 16, 2002, 12 AMEDT",0.01,0.01,3.04
AAPL,Apple Inc.,"Jan 16, 2002, 12 AMEDT",0.01,0.01,2.21
AAPL,Apple Inc.,"Jul 18, 2000, 12 AMEDT",0.03,0.03,3.01
AAPL,Apple Inc.,"Apr 19, 2000, 12 AMEDT",0.03,0.03,9.59
AAPL,Apple Inc.,"Jan 19, 2000, 12 AMEDT",0.03,0.04,11.14
AAPL,Apple Inc.,"Oct 13, 1999, 12 AMEDT",0.02,0.02,12.69
AAPL,Apple Inc.,"Jul 14, 1999, 12 AMEDT",0.02,0.02,7.69
AAPL,Apple Inc.,"Apr 14, 1999, 12 AMEDT",0.02,0.02,19.24
AAPL,Apple Inc.,"Jan 13, 1999, 12 AMEDT",0.02,0.03,12.79
AAPL,Apple Inc.,"Oct 14, 1998, 12 AMEDT",0.02,0.02,39.92
AAPL,Apple Inc.,"Jul 15, 1998, 12 AMEDT",0.01,0.02,68.49
AAPL,Apple Inc.,"Apr 15, 1998, 12 AMEDT",0.01,0.01,156.52
AAPL,Apple Inc.,"Jan 14, 1998, 12 AMEDT",0.01,0.01,22.3
AAPL,Apple Inc.,"Jul 16, 1997, 12 AMEDT",-0.02,-0.02,26.79
AAPL,Apple Inc.,"Apr 16, 1997, 12 AMEDT",-0.04,-0.05,-18.29
AAPL,Apple Inc.,"Jan 15, 1997, 12 AMEDT",-0.02,-0.03,-48.31
AAPL,Apple Inc.,"Jul 17, 1996, 12 AMEDT",-0.04,-0.02,51.62
AAPL,Apple Inc.,"Apr 17, 1996, 12 AMEDT",-0.05,-0.07,-40.6
AAPL,Apple Inc.,"Jan 17, 1996, 12 AMEDT",-0.01,-0.02,-58.6
AAPL,Apple Inc.,"Oct 18, 1995, 12 AMEDT",0.02,0.02,-8.0
AAPL,Apple Inc.,"Jul 20, 1995, 12 AMEDT",0.03,0.03,-5.15
AAPL,Apple Inc.,"Apr 20, 1995, 12 AMEDT",0.03,0.02,-36.86
